id,latitude,longitude,name,type,color,url
0,52.6980223,-6.9314953,Lawlor's,pub,a80000,
2,52.8032534,-6.734699699999999,The Tara Arms,pub,a80000,
4,52.7364507,-7.02344,The Ridge Bar,pub,a80000,
7,52.7389883,-6.769584800000001,Joe Doyles,pub,a80000,
8,52.7027704,-6.9617891,The Red Lion,pub,a80000,
10,52.35180829999999,-7.711275,Carey's Pub,pub,a80000,
11,52.8387338,-6.9302297,Carpe Diem,pub,a80000,
12,52.702641,-6.9603721,Jimmy D's,pub,a80000,
17,52.7536065,-6.706720499999999,The Ardattin Inn,pub,a80000,
20,52.7020998,-6.956016699999999,Lawlors,pub,a80000,
21,52.6737766,-6.8413742,High Nellys,pub,a80000,
23,52.8371886,-6.931819099999999,O'loughlin's Bar,pub,a80000,
27,52.84305939999999,-6.789064300000001,Walshes,pub,a80000,
28,52.8361963,-6.928342799999999,The Med Bar,pub,a80000,
29,52.7362346,-6.979156799999999,Meaney's Bar,pub,a80000,
30,52.8023919,-6.7360196,J J's Bar,pub,a80000,
33,52.5722332,-6.861485,Murphy's,pub,a80000,
34,53.2880048,-6.359526300000001,Molloys Public House,pub,a80000,
36,52.8429787,-6.977504199999999,The Mall,pub,a80000,
38,61.92410999999999,25.7481511,Bridge House Finlans,pub,a80000,
39,52.8361648,-6.9257332,Racey Byrne's The Plough,pub,a80000,
41,52.8649974,-6.861034699999999,Palatine House,pub,a80000,
43,52.8371925,-6.9358857,Dicey Reilly's,pub,a80000,
45,52.8366851,-6.9360835,The Castle Inn,pub,a80000,
46,52.8360764,-6.9289627,The Barracks Bar,pub,a80000,
47,52.84819779999999,-6.9908724,Glenside,pub,a80000,
48,52.73621,-6.97769,The Garrison Bar,pub,a80000,
49,52.8646985,-6.5576991,Bolands Bar And Lounge,pub,a80000,
54,52.8376227,-6.932743500000001,Ewings,pub,a80000,
61,52.8372992,-6.9296494,Sheriff Guevaras,pub,a80000,
62,53.3540317,-6.264429900000001,Mcsiuls,pub,a80000,
64,52.73279489999999,-6.9816803,The Rainbow Bar,pub,a80000,
65,52.8363696,-6.931325999999999,Scraggs Alley,pub,a80000,
70,52.8372743,-6.938454999999999,The Thatch Bar,pub,a80000,
71,52.8379139,-6.9280052,Lennons,pub,a80000,
73,52.7013971,-6.985793900000001,The Royal Oak Tavern,pub,a80000,
74,52.8027483,-6.7370714,The Granite House,pub,a80000,
76,52.7604382,-6.8519152,The Fighting Cocks,pub,a80000,
79,52.8351456,-6.9259146,Carpenter's,pub,a80000,
80,52.836017,-6.9254798,Reddys Of Carlow,pub,a80000,
82,52.8017811,-6.738625799999999,The Hogan Stand,pub,a80000,
89,52.7013971,-6.985793900000001,The Pint Depot,pub,a80000,
90,52.89297,-7.020919999999999,The High Trees,pub,a80000,
91,52.8027041,-6.7370452,Daltons Public House,pub,a80000,
94,52.699971,-6.957948099999999,The Kilree Arms,pub,a80000,
103,52.6003362,-6.923970400000001,Joyce's,pub,a80000,
109,53.3892063,-6.3888826,Jd Wetherspoon Ireland,pub,a80000,
111,52.8361913,-6.9254396,Teach Dolmen,pub,a80000,
